number of cluster: 333
159 : size: 3 :{YDR099W,YNL293W,YGR214W}
160 : size: 3 :{YML051W,YBR020W,YDR009W}
161 : size: 3 :{YOR244W,YNL107W,YHR090C}
162 : size: 3 :{YLR055C,YHR099W,YPR023C}
163 : size: 3 :{YDL020C,YER105C,YBL041W}
164 : size: 3 :{YMR001C,YKL101W,YGL003C}
165 : size: 3 :{YDR145W,YER148W,YGL241W}
166 : size: 3 :{YBL068W,YER099C,YOL061W}
167 : size: 3 :{YDR113C,YBR274W,YKL104C}
168 : size: 3 :{YDR167W,YML114C,YPR115W}
169 : size: 3 :{YJR053W,YFR028C,YMR055C}
170 : size: 3 :{YBL106C,YOR197W,YLR206W}
171 : size: 3 :{YBR170C,YGR048W,YDL126C}
172 : size: 3 :{YBL075C,YER103W,YGL130W}
173 : size: 3 :{YJL172W,YPL065W,YCL008C}
174 : size: 3 :{YDL190C,YDR313C,YLL039C}
175 : size: 3 :{YDR156W,YJR113C,YJR063W}
176 : size: 3 :{YCL063W,YJL043W,YER150W}
177 : size: 3 :{YGR229C,YER167W,YGR185C}
178 : size: 3 :{YLR094C,YFR021W,YML059C}
179 : size: 3 :{YIL170W,YGL053W,YDR331W}
180 : size: 3 :{YMR116C,YPL106C,YJL080C}
181 : size: 3 :{YMR093W,YBR281C,YGL171W}
182 : size: 3 :{YPL139C,YMR263W,YNL330C}
183 : size: 3 :{YKL007W,YBL049W,YIL034C}
184 : size: 3 :{YGL150C,YGL133W,YDL002C}
185 : size: 3 :{YMR297W,YMR214W,YJL034W}
186 : size: 3 :{YOL004W,YDR169C,YNL309W}
187 : size: 3 :{YOR188W,YER114C,YER124C}
188 : size: 3 :{YJR006W,YDL102W,YJR043C}
189 : size: 3 :{YOL041C,YLR432W,YLR427W}
190 : size: 3 :{YDL080C,YDL017W,YBL023C}
191 : size: 3 :{YLR378C,YCL066W,YDR086C}
192 : size: 3 :{YDR171W,YBR275C,YNL216W}
193 : size: 3 :{YBR052C,YCR004C,YDR032C}
194 : size: 3 :{YOR026W,YGR188C,YJL013C}
195 : size: 3 :{YBR145W,YDR499W,YBR136W}
196 : size: 3 :{YDR297W,YPL264C,YOL003C}
197 : size: 3 :{YPL153C,YDR217C,YDR052C}
198 : size: 3 :{YGR056W,YOR319W,YMR240C}
199 : size: 3 :{YHR023W,YPR188C,YGR059W}
200 : size: 3 :{YBR049C,YHR134W,YDR130C}
201 : size: 3 :{YDL101C,YJL092W,YMR226C}
202 : size: 3 :{YHR197W,YBL002W,YDL213C}
203 : size: 3 :{YLR285W,YKL087C,YLR053C}
204 : size: 3 :{YCR098C,YCR037C,YBR106W}
205 : size: 3 :{YNL078W,YMR139W,YER132C}
206 : size: 3 :{YOR269W,YLR254C,YKL127W}
207 : size: 3 :{YER123W,YPL258C,YHR135C}
208 : size: 3 :{YGL185C,YBR058C,YOL113W}
209 : size: 3 :{YOR231W,YMR304W,YJL095W}
210 : size: 3 :{YGR233C,YIL050W,YOL001W}
211 : size: 3 :{YMR201C,YML032C,YNL312W}
212 : size: 3 :{YHL035C,YMR017W,YOR327C}
213 : size: 3 :{YAL015C,YCL052C,YEL060C}
214 : size: 3 :{YGL153W,YLR284C,YOR180C}
215 : size: 3 :{YEL030W,YNL161W,YDL164C}
216 : size: 3 :{YFL029C,YLR226W,YPR161C}
217 : size: 3 :{YGL015C,YLR319C,YDR184C}
218 : size: 3 :{YGR264C,YGL245W,YGL105W}
219 : size: 3 :{YBL034C,YFL037W,YOR265W}
220 : size: 3 :{YDR414C,YJL133W,YDL198C}
221 : size: 3 :{YNR032W,YMR186W,YGR123C}
222 : size: 3 :{YNL273W,YOL006C,YMR233W}
223 : size: 3 :{YBR260C,YKR055W,YGR196C}
224 : size: 3 :{YHR195W,YEL013W,YEL005C}
225 : size: 3 :{YIL047C,YDR183W,YOR212W}
226 : size: 3 :{YDL015C,YJL196C,YDL206W}
227 : size: 3 :{YBR097W,YLR240W,YBL056W}
228 : size: 3 :{YMR198W,YPL253C,YPR141C}
229 : size: 3 :{YHL042W,YGR199W,YFL040W}
230 : size: 3 :{YOR046C,YMR255W,YDL207W}
231 : size: 3 :{YDR103W,YLR362W,YCL032W}
232 : size: 3 :{YOL033W,YPR034W,YGR040W}
233 : size: 3 :{YDR524C,YER081W,YIL044C}
234 : size: 3 :{YMR190C,YNL088W,YLR234W}
235 : size: 3 :{YGL233W,YBR102C,YLR166C}
236 : size: 3 :{YBR130C,YAL029C,YGL106W}
237 : size: 3 :{YHR179W,YHR169W,YNL014W}
238 : size: 3 :{YKR099W,YDR146C,YDL106C}
239 : size: 3 :{YLR438W,YPL204W,YML091C}
240 : size: 3 :{YML085C,YER016W,YCL029C}
